N1_COD;GRUPO ANATÓMICO PRINCIPAL ;N23_COD;GRUPO/SUBGRUPO TERAPÉUTICO;N4_COD;FAMILIA O SUBGRUPO QUÍMICO-TERAPÉUTICO;N5_COD;PRINCIPIO ACTIVO / SUSTANCIA QUÍMICA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AA;AGENTES PARA LA PROFILAXIS DE LAS CARIES;A01AA01;FLUORURO DE SODIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AA;AGENTES PARA LA PROFILAXIS DE LAS CARIES;A01AA02;MONOFLUORFOSFATO DE SODIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AA;AGENTES PARA LA PROFILAXIS DE LAS CARIES;A01AA03;OLAFLUR
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AA;AGENTES PARA LA PROFILAXIS DE LAS CARIES;A01AA04;FLUORURO DE ESTAÑO
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AA;AGENTES PARA LA PROFILAXIS DE LAS CARIES;A01AA30;COMBINACIONES
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AA;AGENTES PARA LA PROFILAXIS DE LAS CARIES;A01AA51;FLUORURO DE SODIO, COMBINACIONES
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB02;PERÓXIDO DE HIDRÓGENO
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB03;CLORHEXIDINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB04;AMFOTERICINA B
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB05;POLINOXILINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB06;DOMIFENO
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB07;OXIQUINOLINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB08;NEOMICINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB09;MICONAZOL
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB10;NATAMICINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB11;VARIOS
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB12;HEXETIDINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB13;TETRACICLINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB14;CLORURO DE BENZOXONIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB15;TIBEZONIO, IODURO DE
